141,B,1721
142,C,2/5/2016
143,D,2016: A Race Oddity
144,E,AlfiBetSoup
145,F,American Outlaws: Malort Chapter
146,F,Balls Models
147,G,Bath
148,H,Beautiful Disasters
149,I,Beaver Boys
150,H,Beet-er Late Than Never
151,A,"Beetlejuice, Beetlejuice, Beetlejuice!!!"
152,B,Blues Brothers
153,C,Boom box
154,D,Boozin Away Hunger
155,D,Breakfast of Champions
156,E,Buns of Anarchy
157,F,Burger Time
158,G,Cereal Killers
159,H,Chicago Flashers
160,I,CHICAGO MalaBOOTHS
161,A,ChiDADarod
162,B,Chidiots
163,C,Chiditacade
164,D,Chillin Like a Villain
165,E,Cinco deDerby
166,F,Come on Down...!
167,G,Cops
168,H,Curry in a hurry
169,I,Derelicte
170,A,Dr. Onesie
171,B,Dungeons & Flagons
172,C,Escape Goats
173,D,Five Guys Boogers and Eyes
174,E,Fuzzy Bunnies
175,F,Garbage Golden Girls
177,G,Gotham Impostors
178,H,GR
179,A,Grandma's Birthday
180,I,Hail Santa
181,I,Hawthorne's Lament
183,D,High Life
184,F,HMS Paula Deen
185,I,Hot Green Beer Ships
186,I,Brown Beer Ships
187,C,IditaGods
190,B,How the West was Onesie
191,E,"JFK, DOA"
192,C,Kenosha Kickers
193,E,Lincoln Park Zoo Affiliates
194,G,Los Inflatable Waving Air Men
195,H,Make America GRATE again!
196,I,Mary and the Sweeps
197,A,Mile High Mushers
198,B,Mystery Inc.
199,C,"Oh, the Humanity!"
200,D,Party Mountain Defense Force – Formerly Known as the Mobile Beerpong Unit
395,E,PreK for the Win
396,F,Putin on the Ritz
397,G,Queer Mishap
398,H,Rescue Rangers
400,C,Pup & Suds
560,E,RESPECT THE ADDAMS
561,I,Ron's Crew
562,A,Rub a Dub Dub 5 Girls in a Tub
563,B,Safari
564,C,Scientific Progress Goes Boink
565,D,Scooby Doo's All Stars
566,E,Sha'Dynasty
567,E,Silver Surfers
568,F,Sister Act
569,G,Ski Patrol
570,H,Space Mission Mush
571,I,Spaceballs
572,A,Spaced Out
573,F,Spice Girls
574,A,Steves Jobs
575,B,Swayze
576,C,Takin Names and Buyin Vowels
577,G,Shark Week 1
578,G,Shark Week 2
579,D,The Misdemeanors
580,E,Team Linny
581,F,Team We Ate Our Wheaties This Morning
582,G,Tequila Mockingbird
583,H,The Ashholes
584,I,The Chivengers
585,A,The Cookie Monsters
586,B,The Cooter Lounge & Co.
587,C,The Flying Bert
588,D,The Green Army Men
589,B,The Jean Genies
590,F,The Okies
591,G,The Power of Onezie
592,H,The Velour Comets
593,I,The Zoo
594,C,Too Hot To Handel
595,I,Train of Thought
596,H,Ushe 1
597,H,Ushe 2
598,B,We go to 11
599,A,Wigs Jacked For Jesus
600,I,YOLO 2016
