115,A,ChiditaHandshake
123,A,Morningwood High Prom Team 1
124,A,Morningwood High Prom Team 2
152,A,ChicaGogo Girls Team #1
153,A,ChicaGogo Girls Team #2
165,A,The I Don't Care Bears
184,A,Chicago United Riders
185,A,SCOOB AND THE GANG
193,A,Bison Blue Balls
108,B,Y2Kweer Mishap
126,B,Tim Burton Snowboard Team
129,B,There's always money in the banana stand
139,B,Cartastrophe (1 of 2)
140,B,Cartastrophe (2 of 2)
162,B,You Can't Ketchup
178,B,Drunkaroos
189,B,Team Tock
195,B,The cooter lounge
101,C,3GS&T 13th Ed.
102,C,Lincoln Towing
103,C,Chidiots
104,C,Chidiots Gold
105,C,Action-Squad
112,C,Nomeward Bound #1
113,C,Nomeward Bound #2
128,C,The Chivengers
136,C,inDANGER
148,C,Team formerly known as 2016 fastest cart
137,D,Hot Mess Time Machine
141,D,Oregon Or Bust
142,D,BaltOve's Babes
144,D,Loteria Gurus
146,D,Curry in a Hurry
150,D,Everyone Has Cholera
175,D,The Beachstie  Boys
179,D,The Gang Does Chiditarod
182,D,Sabotage
131,E,Hungry Hungry HR Hippos
151,E,Bikepocalypse
164,E,McFly and the Doc's
169,E,5 Angry Teachers
186,E,The Mighty Drunks
187,E,The Blue Team
188,E,Trip Deuce Niner
190,E,The Velour Comets
197,E,Chi Titty Rod
111,F,The (Data) Pirates
114,F,6 Pack Attack
130,F,The Illustrious Rick Moranis
132,F,Ack! Ack! Ack!
149,F,The Rural Jurors
154,F,Patrick's Pekingese Power Posse
163,F,Laundry Day
174,F,Kool Kids on the Block
191,F,The Proctologists
117,G,Purple Krewe
118,G,Still brainstorming
147,G,Pac-Man
157,G,Wigs Jacked for Jesus
158,G,Chicago Parking Meters LLC
160,G,Bad Humor
171,G,Mushers of Catan
180,G,YOLO RATTs
181,G,Chi-Dino-Mites
106,H,CHIdream Team
119,H,5 Rabbit
127,H,Running of the Bison(tennial)
143,H,Chweethearts
155,H,ChiditaBROADS
156,H,Great Balls of Fyre
159,H,crash cart dummies
167,H,Dandy Lions
168,H,Ray's Tiki Bar
107,I,ZZ Top Gun
110,I,Initech Racing Division
116,I,Never Nude
120,I,Coffee Talk with Linda Richman
121,I,I forgot to feed my tamagachi 1
122,I,I forgot to feed my tamagachi 2
161,I,DisasterCon
173,I,Blue Wave
192,I,Meddling Kids
194,I,Unforgettable Luncheon
138,J,Please Let This Be a Normal Field Trip
145,J,Sara Paras
170,J,Dissension in the ranks
172,J,The Great Chicago Cart Off
176,J,Ice Cream Nips
177,J,Lucky Charmers
183,J,Priceline Negotiators
196,J,Cops
198,J,Doing it Wright
